date,inflow_tokens,outflow_tokens,net_flow_tokens,signal
2024-06-21,0.0,0.0,0.0,neutral
2024-06-24,0.0,0.0,0.0,neutral
2024-06-25,1838333.5467885497,170047.33817082283,1668286.2086177268,bearish_pressure (net inflow to exchanges)
2024-06-26,101402.95851455665,88862.87945410136,12540.07906045529,bearish_pressure (net inflow to exchanges)
2024-06-27,56995.78484169213,44945.51105419978,12050.273787492355,bearish_pressure (net inflow to exchanges)
2024-06-28,297226.0308341193,36883.026656129485,260343.00417798982,bearish_pressure (net inflow to exchanges)
2024-06-29,80692.79852318906,27421.452027129606,53271.34649605946,bearish_pressure (net inflow to exchanges)
2024-06-30,57710.12638945027,109714.18860298705,-52004.06221353678,bullish_pressure (net outflow from exchanges)
2024-07-01,10337167.70760557,10443788.263827162,-106620.55622159131,bullish_pressure (net outflow from exchanges)
2024-07-02,339187.32381905476,188965.86873458693,150221.45508446783,bearish_pressure (net inflow to exchanges)
2024-07-03,191535.65816537786,77083.78455455072,114451.87361082714,bearish_pressure (net inflow to exchanges)
2024-07-04,832811.0352923438,97396.78300193549,735414.2522904084,bearish_pressure (net inflow to exchanges)
2024-07-05,733870.3002350434,652935.7529101464,80934.54732489702,bearish_pressure (net inflow to exchanges)
2024-07-06,97059.18409601269,130050.16772684088,-32990.983630828196,bullish_pressure (net outflow from exchanges)
2024-07-07,155292.4716482162,57217.04534688124,98075.42630133496,bearish_pressure (net inflow to exchanges)
2024-07-08,444802.12715489214,277794.07353593,167008.05361896212,bearish_pressure (net inflow to exchanges)
2024-07-09,422645.30323830293,214156.32677766695,208488.97646063598,bearish_pressure (net inflow to exchanges)
2024-07-10,278213.6584897115,152862.1151805406,125351.54330917093,bearish_pressure (net inflow to exchanges)
2024-07-11,9456039.580838392,261463.3514647346,9194576.229373656,bearish_pressure (net inflow to exchanges)
2024-07-12,81728.70765323163,47070.138453780695,34658.56919945093,bearish_pressure (net inflow to exchanges)
2024-07-13,237775.78592978365,150753.6649058669,87022.12102391676,bearish_pressure (net inflow to exchanges)
2024-07-14,69899.78798215657,114406.63891491295,-44506.85093275638,bullish_pressure (net outflow from exchanges)
2024-07-15,174929.3208593294,199821.22179578937,-24891.900936459977,bullish_pressure (net outflow from exchanges)
2024-07-16,171581.57087776696,103451.84096813278,68129.72990963419,bearish_pressure (net inflow to exchanges)
2024-07-17,112160.62522857726,119971.53433744409,-7810.909108866821,bullish_pressure (net outflow from exchanges)
2024-07-18,1591813.7725725826,10110378.346063659,-8518564.573491076,bullish_pressure (net outflow from exchanges)
2024-07-19,167988.55218158851,625739.966178933,-457751.41399734456,bullish_pressure (net outflow from exchanges)
