wallet,smart_money_score,realized_pnl_usd,total_bought,total_sold,net_position,distinct_tokens_traded,timing_score,funding_source,in_funding_cluster,cluster_size,flagged_coordinated,flagged_fresh_big_buy
0xfb19085ac3951cb0af7b5a6126f4bff8e2d1f8ee,0.2596,1142.741882734263,341000.0,102000.0,239000.0,1.0,0.6026371778788406,unknown,False,1.0,True,True
0xc5d3d8fbad6480f1234e7511a735f5718f2231bd,0.2401,-803.4357298319466,392469.953281846,65564.40115952,326905.552122326,1.0,0.5671617050693916,unknown,False,1.0,True,True
0x6d6cc65e2060d0a280fcd47b6c22ec5636797fec,0.2279,0.0,5037368.881240494,0.0,5037368.881240494,1.0,0.0,unknown,False,1.0,True,True
0x10add06d930d2d4b0cbbbdd3ca5e562978a2e5c3,0.2072,0.0,3000264.0,2894830.0,105434.0,1.0,0.37015323009415046,unknown,False,1.0,True,True
0xaa10db8804d076601999c7cd769e02e44a99d5b2,0.1956,0.0,1103994.81,0.0,1103994.81,1.0,0.6901116763384703,unknown,False,1.0,True,False
0xc2aa313591d4522b88315b952039088b7c3fac9e,0.1947,-10752.711295240346,174120.18,29886.35384066191,144233.8261593381,1.0,0.28333581702363797,unknown,False,1.0,True,True
0x3a75c603a062377b1a1f227729342e801cd38f4f,0.1788,0.0,282000.0,0.0,282000.0,1.0,0.6629777722702566,unknown,False,1.0,False,True
0x360711d5a55b2a4a1240e446a92b10a18f61af73,0.1772,0.0,175000.0,0.0,175000.0,1.0,0.6629777722702566,unknown,False,1.0,False,True
0xcdb43c24344f520fcd1c17f90e20fa6661c186a3,0.1746,0.0,600000.0,0.0,600000.0,1.0,0.10229076539163329,unknown,False,1.0,True,True
0x4a99de9f121cff438b0a5da56700a4c192ebef21,0.1734,0.0,122407.10961537315,0.0,122407.10961537315,1.0,0.14370948376615,unknown,False,1.0,True,True
0xfed315e639d56e2007a6273cf2858563f8026c63,0.1692,0.0,250000.0,0.0,250000.0,1.0,0.10229076539163329,unknown,False,1.0,True,True
0x040e942650ca2d12f4334b1568c70f379c14f617,0.1674,0.0,150000.0,0.0,150000.0,1.0,0.6007191915749204,unknown,False,1.0,False,True
0xaf9d0ff40954441be94a182606e78daf42eba4a8,0.1656,0.0,2716000.0,2515451.2389727714,200548.76102722855,1.0,0.08325782598738585,unknown,False,1.0,True,True
0x8a5f21ed53db7d7e5768de64cbf3a2c23bfade9a,0.1655,0.0,1000000.0,0.0,1000000.0,1.0,0.0,unknown,False,1.0,True,True
0x076138ed159ab4c2c47f1e248a044909cbb223c4,0.1654,0.0,285825.0498395949,165824.435,120000.61483959493,1.0,0.09033414135459095,unknown,False,1.0,True,True
0x9becd1d5fb5769d08889f1483cfe8007b548eaf6,0.1616,0.0,750000.0,0.0,750000.0,1.0,0.0,unknown,False,1.0,True,True
0xa619586aa4ad5861f8afc58d105c0893992c1c30,0.1593,0.0,600000.0,0.0,600000.0,1.0,0.0,unknown,False,1.0,True,True
0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1,0.1591,0.0,588463.6751999999,0.0,588463.6751999999,1.0,0.0,unknown,False,1.0,True,True
0x1b14376ee2d46ae5c27a43d902d96d4f3f264b83,0.1588,-191026.79541542794,1079037.24,510200.0,568837.24,1.0,0.0,unknown,False,1.0,True,True
0xdd276dc5223d0120f9bf1776f38957cc8da23cb0,0.1587,0.0,1059339.04,500000.0,559339.04,1.0,0.0,unknown,False,1.0,True,True
0x00149a4c2ac899294a8e9f0ef996dc7204c630b3,0.1581,0.0,524793.1350111552,0.0,524793.1350111552,1.0,0.0,unknown,False,1.0,True,True
0xafba29adc671b041d8ab37d1f91e893663e9b0d2,0.158,0.0,307000.0,0.0,307000.0,1.0,0.5217236620785826,unknown,False,1.0,True,False
0xdfa861bf6cb136d3ac67ce3094a1c8eb04b76b44,0.1565,0.0,419794.8859841932,0.0,419794.8859841932,1.0,0.0,unknown,False,1.0,True,True
0x8e4d09d433e935b191cfa8d76ace5e945bfafea1,0.1564,0.0,867616.33943316,750000.0,117616.33943316003,1.0,0.5304762358590163,unknown,False,1.0,True,False
